,question,imageId,GithubLink
65,Is there a cow to the left of the person that is to the right of the bus?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
66,Are there any cows to the left of the person that is to the right of the bus?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
68,Are there cows to the right of the male person?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
71,Are there either tables or mirrors that are made of metal?,n61917,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n61917.jpg
72,Was marble used to make the rectangular table?,n61917,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n61917.jpg
73,Do you see a wet wetsuit in the image?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
74,Are there wet wetsuits in the picture?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
75,Are the table and the TV stand both rectangular?,n61917,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n61917.jpg
76,Does the helmet to the left of the other helmet look white and hard?,n357179,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n357179.jpg
77,Are there any mirrors or tables that are not rectangular?,n61917,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n61917.jpg
78,Do the table and the TV stand both look rectangular?,n61917,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n61917.jpg
79,Are there any wetsuits that are comfortable?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
80,Is there a wetsuit in this picture that is comfortable?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
81,Are there any comfortable wetsuits?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
82,Is there a wetsuit in this scene that is not blue?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
83,Is there a wetsuit that is not uncomfortable?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
84,Are there any wetsuits in the photograph that are not uncomfortable?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
85,Do you see curtains to the right of the device that the video game is displayed on?,n536689,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n536689.jpg
86,Do you see a wetsuit in this picture that is comfortable?,n317735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n317735.jpg
91,Do you see women there that are walking?,n314723,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n314723.jpg
92,Does the animal that is looking up look large?,n11399,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11399.jpg
93,Do you see any large cat or dog?,n11399,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11399.jpg
94,Does the dog look large?,n11399,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11399.jpg
95,Does the dog have large size?,n11399,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11399.jpg
100,Is the ski short?,n26384,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n26384.jpg
101,Does the ski have short length?,n26384,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n26384.jpg
102,Do the sink and the bath tub have a different colors?,n286211,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n286211.jpg
103,Are the toilet and the sink the same color?,n286211,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n286211.jpg
104,Do you see any large dogs?,n11399,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11399.jpg
105,Do you see a dog that is large?,n11399,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11399.jpg
106,Are there donuts to the right of the freezer on the left?,n537723,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n537723.jpg
107,Is there a donut to the right of the appliance on the left side of the picture?,n537723,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n537723.jpg
108,Is this an angry man?,n384288,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n384288.jpg
109,Do you see goggles that are not made of plastic?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
110,What are the goggles made of?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
111,Do you see snowboarders?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
112,Do you see a snowboarder?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
113,Are the goggles made of plastic?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
114,Are there any helmets or skis in the image?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
115,What is the material of the goggles?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
116,Are there boys to the right of the woman that is to the left of the men?,n398816,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n398816.jpg
117,Who is wearing shorts?,n288604,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n288604.jpg
118,Are there any couches to the left of the old device?,n536689,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n536689.jpg
119,Is there a window in the scene that is square?,n263560,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n263560.jpg
120,Are there snowboarders or skiers that are posing?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
121,Are there either any men or snowboarders in this photograph?,n501208,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n501208.jpg
122,Do you see any square window?,n263560,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n263560.jpg
123,Do you see any boys to the left of the woman the performer is watching?,n398816,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n398816.jpg
124,Do you think the jacket is black?,n248708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n248708.jpg
125,Are there any cars?,n167285,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n167285.jpg
126,Is the boy to the left or to the right of the woman the men are to the right of?,n398816,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n398816.jpg
127,Are there either umbrellas or cars in the picture?,n167285,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n167285.jpg
128,Is the boy to the right of the woman on the right?,n398816,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n398816.jpg
129,"Which type of food is not colorful, the fruit or the apple?",n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
130,What type of food is not colorful?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
131,"Which type of food is colorful, the fruit or the apple?",n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
132,"Which kind of food is not colorful, the apple or the fruit?",n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
133,Which food is assorted?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
134,What is the name of the food that is assorted?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
135,Which kind of food is not colorful?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
136,What is the assorted food in the picture called?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
137,What is the size of the man that is using a laptop?,n542270,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n542270.jpg
138,Does the bag that is to the right of the phone appear to be large and white?,n167285,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n167285.jpg
139,What is the food that is assorted?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
140,What is the food that is assorted called?,n518035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n518035.jpg
141,Is the man small?,n542270,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n542270.jpg
142,How large is he?,n542270,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n542270.jpg
143,How big is he?,n542270,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n542270.jpg
144,What size is the person to the right of the painting?,n542270,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n542270.jpg
145,How tall are the trees behind the fence?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
146,Does the jacket appear to be black?,n248708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n248708.jpg
147,Does the white object to the left of the other bag appear to be large and square?,n167285,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n167285.jpg
148,How tall do you think are the green trees?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
149,Do you see any square clocks or windows?,n263560,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n263560.jpg
150,Are there umpires in the picture?,n398816,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n398816.jpg
151,Does the beer bottle look brown?,n103518,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n103518.jpg
152,Do you think the man is riding?,n138240,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n138240.jpg
153,Which color is the beer bottle that is made of glass?,n103518,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n103518.jpg
154,Is the beer bottle brown?,n103518,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n103518.jpg
155,Is the beer bottle white or brown?,n103518,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n103518.jpg
156,Do you think the beer bottle is white or brown?,n103518,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n103518.jpg
157,Are there doors or windows that are open?,n76613,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n76613.jpg
158,Do the leafy trees behind the fence appear to be short?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
159,Does the man that is to the left of the woman seem to be still?,n512539,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n512539.jpg
160,Are the trees short or tall?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
161,Is the color of the buildings yellow?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
162,Do the buildings look yellow?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
163,Do you see a mirror?,n443939,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n443939.jpg
164,Are there any mirrors in the photo?,n443939,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n443939.jpg
165,Do the trees behind the fence seem to be tall or short?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
166,Does the snowboard look light and wooden?,n331157,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n331157.jpg
167,Do the tall buildings behind the tree look small and yellow?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
168,Do the buildings that are not short look small and yellow?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
169,Are the buildings both yellow and tall?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
170,Do the buildings that are not little look yellow and tall?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
171,Are the buildings behind the tree yellow and short?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
172,Do the big buildings behind the tree look short and yellow?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
173,Do the big buildings behind the tree look yellow and short?,n386113,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n386113.jpg
174,Is that glass on a tablecloth?,n443939,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n443939.jpg
175,What is the dessert on the fork the boy holds?,n463045,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n463045.jpg
176,Are the person that is to the left of the dog and the person that looks tall both still?,n512539,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n512539.jpg
177,Is there either a plastic cup or laptop in this photo?,n18463,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n18463.jpg
178,Are there either motorcycles or pillows in the image?,n310937,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n310937.jpg
179,Do the man to the left of the dog and the person that looks tall both seem to be still?,n512539,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n512539.jpg
180,What color is that cabinet?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
181,Is that cabinet beige?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
182,Does the cabinet next to the TV stand look beige?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
183,Does the cabinet next to the TV stand have beige color?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
184,Is there either a table or a cabinet that is not dark?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
185,Is the color of the cabinet dark?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
186,Does the cabinet look dark?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
187,Does the cabinet have dark color?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
188,Is the snowboard dark?,n331157,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n331157.jpg
189,Is there either a white bed or cabinet?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
190,Do you see any pink cabinets?,n348714,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n348714.jpg
191,Is the plastic device to the right of the glasses that are to the right of the bottle?,n164438,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n164438.jpg
192,Do you see any pillows to the right of the device that is not turned-off?,n190913,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n190913.jpg
193,Does the chair look old fashioned?,n113137,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n113137.jpg
194,Is the door clear?,n68415,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n68415.jpg
195,Does that chair look old fashioned?,n113137,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n113137.jpg
196,Is the chair behind the dog old fashioned and leather?,n113137,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n113137.jpg
197,Is that jacket thin or thick?,n248708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n248708.jpg
198,Are there any baseball bats or bats that are not made of metal?,n15845,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n15845.jpg
199,Are there tables in the picture that are wooden?,n474261,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n474261.jpg
200,Is the chair that is to the right of the freezer old fashioned and wooden?,n113137,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n113137.jpg
201,Is there a chair that is modern?,n113137,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n113137.jpg
202,Are there buses in front of the tall trees?,n195854,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n195854.jpg
203,Are there any girls to the right of the white thing that is lying on top of the carpet?,n272708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n272708.jpg
204,Is there either any modern table or chair?,n113137,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n113137.jpg
205,Do you see an elephant above the baby?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
206,Is the soft bear above a baby?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
207,Is the fuzzy animal above a baby?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
208,What animal is on the blanket?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
209,What is the name of the animal that is on the blanket?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
210,What is the bear on?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
211,What's the bear on?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
212,Are there bears on the blanket?,n406072,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n406072.jpg
213,Is the jacket black and thick?,n248708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n248708.jpg
214,Are there any tables in the image that are wood?,n474261,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n474261.jpg
215,Is the girl that is not old wearing a hair band?,n292044,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n292044.jpg
216,Is the soccer ball to the right of the soccer player still and round?,n116276,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n116276.jpg
217,Is the soccer ball still and soft?,n116276,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n116276.jpg
218,Does the soccer ball look still?,n116276,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n116276.jpg
219,Is the soccer ball still?,n116276,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n116276.jpg
220,Does the shirt look clean?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
221,Is the girl wearing a helmet?,n292044,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n292044.jpg
222,Does the shirt look yellow and clean?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
223,Is the shirt clean and gray?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
224,Is the clean shirt gray or orange?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
225,"What color is the clean shirt, gray or orange?",n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
226,Does the shirt look orange?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
227,Who is wearing a hair band?,n292044,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n292044.jpg
228,The shirt the man is wearing has which color?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
229,Does the shirt have gray color?,n319327,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n319327.jpg
230,What is the name of the white item of furniture?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
231,"Which type of furniture is this, a coffee table or a bed?",n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
232,"What type of furniture is this, a bed or a coffee table?",n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
233,What is this piece of furniture called?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
234,What kind is this item of furniture?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
235,Which kind of furniture is it?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
236,What type of furniture is this?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
237,Is the skirt long and colorful?,n292044,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n292044.jpg
238,Does the jacket appear to be black and thin?,n248708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n248708.jpg
239,What piece of furniture is white?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
240,Is this a bed or a table?,n205271,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n205271.jpg
241,Who holds the animal in front of the couch?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
242,Who holds the dog?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
243,Is that a blond woman?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
244,Is the person in front of the couch blond or brunette?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
245,Is that a brunette woman?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
246,Are there women that are not brunette?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
247,Do you think the woman to the left of the pillow is brunette or blond?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
248,Is that fork to the left of a cup?,n554035,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n554035.jpg
249,Are there balls or fences?,n292044,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n292044.jpg
250,Do the blind and the light fixture have the same color?,n325735,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n325735.jpg
251,Are there bowls or containers in the photo?,n334817,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n334817.jpg
252,What animal do you think does she hold?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
253,What animal does she hold?,n397400,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n397400.jpg
254,Is there a table in this image that is not tan?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
255,Do you see a table that is not tan?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
256,Are there any tables in this picture that are not tan?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
257,Do you see any large tables in the photo?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
258,Do you see large tables?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
259,Is there a table in the photo that is large?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
260,Are there tables that are not small?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
261,Is there a table that is not small?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
262,Do you see a plate?,n124121,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n124121.jpg
